SampleID,Bridge,MouseID,Age,Time
F1_X126.Sn,1,Bridge,Bridge,NA
F1_X130n.Sn,0,39,Young,2
F1_X130c.Sn,0,39,Young,4
F1_X127n.Sn,0,39,Young,6
F1_X131n.Sn,0,39,Young,8
F1_X128n.Sn,0,39,Young,10
F1_X129n.Sn,0,39,Young,12
F1_X128c.Sn,0,39,Young,14
F1_X131c.Sn,0,40,Old,2
F1_X127c.Sn,0,40,Old,4
F1_X129c.Sn,0,40,Old,6
F1_X132n.Sn,0,40,Old,8
F1_X132c.Sn,0,40,Old,10
F1_X133n.Sn,0,40,Old,12
F1_X133c.Sn,0,40,Old,14
F2_X126.Sn,1,Bridge,Bridge,NA
F2_X130n.Sn,0,41,Young,2
F2_X130c.Sn,0,41,Young,4
F2_X127n.Sn,0,41,Young,6
F2_X131n.Sn,0,41,Young,8
F2_X128n.Sn,0,41,Young,10
F2_X129n.Sn,0,41,Young,12
F2_X128c.Sn,0,41,Young,14
F2_X131c.Sn,0,42,Old,2
F2_X127c.Sn,0,42,Old,4
F2_X129c.Sn,0,42,Old,6
F2_X132n.Sn,0,42,Old,8
F2_X132c.Sn,0,42,Old,10
F2_X133n.Sn,0,42,Old,12
F2_X133c.Sn,0,42,Old,14
